15.75,110,1499,8
14.38,85,1314,8
14.25,93,1233,13
12.63,31,433,4
12.56,67,740,6
12.87,41,580,2
11.93,82,1083,5
11.06,89,1421,7
10.13,64,898,5
12,84,1492,12
9.69,52,802,2
10.27,82,1332,9
9.13,73,930,5
8.94,65,1128,4
8.81,64,745,4
8.56,85,1179,7
8.56,49,627,5
10.46,98,1426,11
9.5,105,1056,6
9.43,63,711,3
8.4,87,1288,11
7.69,47,455,2
7.63,6,149,0
9.08,100,1295,12
7.38,75,943,5
7.38,65,1041,5
7,41,611,6
7.4,32,641,5
7.93,94,1079,2
6.88,44,736,5
6.88,78,1224,7
6.88,68,804,4
7.07,109,1407,5
6.31,59,817,3
6.31,50,778,5
6.25,40,587,3
7,71,1046,8
6.4,12,199,0
5.88,11,96,0
5.88,19,284,1
5.81,25,431,1
5.81,113,1346,5
6,38,503,2
6.43,82,954,10
6.08,1,17,0
4.88,26,434,3
4.88,6,64,0
5.13,57,673,5
4.81,58,919,3
4.63,47,835,8
5.83,85,1067,2
5.75,24,244,0
5.67,18,354,4
5.15,66,777,3
4.4,46,602,10
4.06,56,896,0
4.27,22,346,4
3.94,10,83,0
3.88,39,368,2
4.77,52,597,3
3.75,45,469,4
3.75,43,523,3
3.93,40,418,4
3.69,76,1016,4
4.14,73,778,10
8,18,302,2
3.5,32,258,4
3.44,43,471,2
3.44,4,51,0
3.64,17,226,0
3.19,5,105,0
4.55,6,37,1
2.56,38,447,2
2.56,2,14,0
2.67,9,103,0
2.57,30,326,3
2.19,11,140,1
2.43,37,457,2
2.06,6,67,1
2,5,82,0
6,87,1646,9
1.93,32,466,4
1.63,54,633,2
1.86,49,524,7
3.25,4,68,0
2.5,8,143,0
1.56,1,6,0
1.57,34,569,0
1.38,1,8,0
2.75,13,114,0
2.22,22,216,2
2.86,2,13,0
1.25,36,556,5
2,38,399,4
1.14,20,214,0
2.67,40,596,2
1.25,23,361,2
4.67,60,888,4
1.27,2,12,0
1.2,42,452,2
1.71,41,472,1
1,16,324,2
0.79,13,125,2
0.69,37,455,2
1,46,695,5
1,8,130,0
1.5,36,423,2
0.5,22,253,2
0.8,6,61,0
0.5,9,80,2
1.4,32,446,2
0.78,23,456,1
1.17,41,465,2
0.31,16,200,3
1.25,38,490,2
0.71,21,269,2
0.5,17,283,3
0.63,4,67,1
0.31,3,64,1
0.33,51,484,1
2,29,329,2
1,37,519,4
1,3,34,0
3,15,155,0
0.6,8,85,0
0.15,49,681,3
0.14,18,365,2
0.17,2,6,0
0.08,2,27,0
0.06,29,309,1
0.33,15,178,0
0,24,259,2